Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Trimestre,Nom_Barri,Valor,Codi_Barri,_id,Any
1,Total. Milers d'euros,Ciutat Vella,1,el Raval,226.1,1,1,2022
1,Total. Milers d'euros,Ciutat Vella,1,el Barri Gòtic,453.0,2,2,2022
1,Total. Milers d'euros,Ciutat Vella,1,la Barceloneta,215.4,3,3,2022
1,Total. Milers d'euros,Ciutat Vella,1,"Sant Pere, Santa Caterina i la Ribera",353.3,4,4,2022
2,Total. Milers d'euros,Eixample,1,el Fort Pienc,340.0,5,5,2022
2,Total. Milers d'euros,Eixample,1,la Sagrada Família,301.0,6,6,2022
2,Total. Milers d'euros,Eixample,1,la Dreta de l'Eixample,755.8,7,7,2022
2,Total. Milers d'euros,Eixample,1,l'Antiga Esquerra de l'Eixample,470.3,8,8,2022
2,Total. Milers d'euros,Eixample,1,la Nova Esquerra de l'Eixample,328.1,9,9,2022
2,Total. Milers d'euros,Eixample,1,Sant Antoni,370.6,10,10,2022
3,Total. Milers d'euros,Sants-Montjuïc,1,el Poble Sec,253.1,11,11,2022
3,Total. Milers d'euros,Sants-Montjuïc,1,la Marina del Prat Vermell,--,12,12,2022
3,Total. Milers d'euros,Sants-Montjuïc,1,la Marina de Port,228.6,13,13,2022
3,Total. Milers d'euros,Sants-Montjuïc,1,la Font de la Guatlla,237.8,14,14,2022
3,Total. Milers d'euros,Sants-Montjuïc,1,Hostafrancs,250.7,15,15,2022
3,Total. Milers d'euros,Sants-Montjuïc,1,la Bordeta,211.6,16,16,2022
3,Total. Milers d'euros,Sants-Montjuïc,1,Sants - Badal,245.0,17,17,2022
3,Total. Milers d'euros,Sants-Montjuïc,1,Sants,264.0,18,18,2022
4,Total. Milers d'euros,Les Corts,1,les Corts,459.5,19,19,2022
4,Total. Milers d'euros,Les Corts,1,la Maternitat i Sant Ramon,346.7,20,20,2022
4,Total. Milers d'euros,Les Corts,1,Pedralbes,783.2,21,21,2022
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,"Vallvidrera, el Tibidabo i les Planes",353.8,22,22,2022
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,Sarrià,736.5,23,23,2022
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,les Tres Torres,896.7,24,24,2022
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,Sant Gervasi - la Bonanova,706.1,25,25,2022
5,Total. Milers d'euros,Sarrià-Sant Gervasi,1,Sant Gervasi - Galvany,732.7,26,26,2022
