Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Nom_Barri,Valor,Codi_Barri,_id,Any
1,Total. Milers d'euros,Ciutat Vella,el Raval,240.3,1,1,2017
1,Total. Milers d'euros,Ciutat Vella,el Barri Gòtic,472.7,2,2,2017
1,Total. Milers d'euros,Ciutat Vella,la Barceloneta,197.7,3,3,2017
1,Total. Milers d'euros,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",314.3,4,4,2017
2,Total. Milers d'euros,Eixample,el Fort Pienc,400.4,5,5,2017
2,Total. Milers d'euros,Eixample,la Sagrada Família,255.8,6,6,2017
2,Total. Milers d'euros,Eixample,la Dreta de l'Eixample,519.8,7,7,2017
2,Total. Milers d'euros,Eixample,l'Antiga Esquerra de l'Eixample,372.2,8,8,2017
2,Total. Milers d'euros,Eixample,la Nova Esquerra de l'Eixample,339.6,9,9,2017
2,Total. Milers d'euros,Eixample,Sant Antoni,297.9,10,10,2017
3,Total. Milers d'euros,Sants-Montjuïc,el Poble Sec,260.5,11,11,2017
3,Total. Milers d'euros,Sants-Montjuïc,la Marina del Prat Vermell,99.1,12,12,2017
3,Total. Milers d'euros,Sants-Montjuïc,la Marina de Port,166.3,13,13,2017
3,Total. Milers d'euros,Sants-Montjuïc,la Font de la Guatlla,235.1,14,14,2017
3,Total. Milers d'euros,Sants-Montjuïc,Hostafrancs,263.3,15,15,2017
3,Total. Milers d'euros,Sants-Montjuïc,la Bordeta,288.1,16,16,2017
3,Total. Milers d'euros,Sants-Montjuïc,Sants - Badal,251.5,17,17,2017
3,Total. Milers d'euros,Sants-Montjuïc,Sants,338.3,18,18,2017
4,Total. Milers d'euros,Les Corts,les Corts,417.3,19,19,2017
4,Total. Milers d'euros,Les Corts,la Maternitat i Sant Ramon,369.9,20,20,2017
4,Total. Milers d'euros,Les Corts,Pedralbes,890,21,21,2017
5,Total. Milers d'euros,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",391.3,22,22,2017
5,Total. Milers d'euros,Sarrià-Sant Gervasi,Sarrià,690.1,23,23,2017
5,Total. Milers d'euros,Sarrià-Sant Gervasi,les Tres Torres,805.7,24,24,2017
5,Total. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,612.3,25,25,2017
5,Total. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,583.6,26,26,2017
5,Total. Milers d'euros,Sarrià-Sant Gervasi,el Putxet i el Farró,523.2,27,27,2017
6,Total. Milers d'euros,Gràcia,Vallcarca i els Penitents,337.2,28,28,2017
6,Total. Milers d'euros,Gràcia,el Coll,205.8,29,29,2017
6,Total. Milers d'euros,Gràcia,la Salut,310.9,30,30,2017
6,Total. Milers d'euros,Gràcia,la Vila de Gràcia,432.2,31,31,2017
6,Total. Milers d'euros,Gràcia,el Camp d'en Grassot i Gràcia Nova,362.5,32,32,2017
7,Total. Milers d'euros,Horta-Guinardó,el Baix Guinardó,272.5,33,33,2017
7,Total. Milers d'euros,Horta-Guinardó,Can Baró,221.3,34,34,2017
7,Total. Milers d'euros,Horta-Guinardó,el Guinardó,202.2,35,35,2017
7,Total. Milers d'euros,Horta-Guinardó,la Font d'en Fargues,277.3,36,36,2017
7,Total. Milers d'euros,Horta-Guinardó,el Carmel,144.6,37,37,2017
7,Total. Milers d'euros,Horta-Guinardó,la Teixonera,144,38,38,2017
7,Total. Milers d'euros,Horta-Guinardó,Sant Genís dels Agudells,157.6,39,39,2017
7,Total. Milers d'euros,Horta-Guinardó,Montbau,140.8,40,40,2017
7,Total. Milers d'euros,Horta-Guinardó,la Vall d'Hebron,210.4,41,41,2017
7,Total. Milers d'euros,Horta-Guinardó,la Clota,NA,42,42,2017
7,Total. Milers d'euros,Horta-Guinardó,Horta,192.9,43,43,2017
8,Total. Milers d'euros,Nou Barris,Vilapicina i la Torre Llobeta,172.5,44,44,2017
8,Total. Milers d'euros,Nou Barris,Porta,171,45,45,2017
8,Total. Milers d'euros,Nou Barris,el Turó de la Peira,107.8,46,46,2017
8,Total. Milers d'euros,Nou Barris,Can Peguera,114.4,47,47,2017
8,Total. Milers d'euros,Nou Barris,la Guineueta,175,48,48,2017
8,Total. Milers d'euros,Nou Barris,Canyelles,128.6,49,49,2017
8,Total. Milers d'euros,Nou Barris,les Roquetes,106.7,50,50,2017
8,Total. Milers d'euros,Nou Barris,Verdun,116.8,51,51,2017
8,Total. Milers d'euros,Nou Barris,la Prosperitat,132,52,52,2017
8,Total. Milers d'euros,Nou Barris,la Trinitat Nova,73.6,53,53,2017
8,Total. Milers d'euros,Nou Barris,Torre Baró,97,54,54,2017
8,Total. Milers d'euros,Nou Barris,Ciutat Meridiana,77.1,55,55,2017
8,Total. Milers d'euros,Nou Barris,Vallbona,176.5,56,56,2017
9,Total. Milers d'euros,Sant Andreu,la Trinitat Vella,142.3,57,57,2017
9,Total. Milers d'euros,Sant Andreu,Baró de Viver,265,58,58,2017
9,Total. Milers d'euros,Sant Andreu,el Bon Pastor,144.4,59,59,2017
9,Total. Milers d'euros,Sant Andreu,Sant Andreu,212,60,60,2017
9,Total. Milers d'euros,Sant Andreu,la Sagrera,231.6,61,61,2017
9,Total. Milers d'euros,Sant Andreu,el Congrés i els Indians,189.5,62,62,2017
9,Total. Milers d'euros,Sant Andreu,Navas,350.3,63,63,2017
10,Total. Milers d'euros,Sant Martí,el Camp de l'Arpa del Clot,341.8,64,64,2017
10,Total. Milers d'euros,Sant Martí,el Clot,348.2,65,65,2017
10,Total. Milers d'euros,Sant Martí,el Parc i la Llacuna del Poblenou,289.8,66,66,2017
10,Total. Milers d'euros,Sant Martí,la Vila Olímpica del Poblenou,492.1,67,67,2017
10,Total. Milers d'euros,Sant Martí,el Poblenou,337.9,68,68,2017
10,Total. Milers d'euros,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,672.5,69,69,2017
10,Total. Milers d'euros,Sant Martí,el Besòs i el Maresme,215.9,70,70,2017
10,Total. Milers d'euros,Sant Martí,Provençals del Poblenou,342.3,71,71,2017
10,Total. Milers d'euros,Sant Martí,Sant Martí de Provençals,271.4,72,72,2017
10,Total. Milers d'euros,Sant Martí,la Verneda i la Pau,138.3,73,73,2017
1,Nou. Milers d'euros,Ciutat Vella,el Raval,292.5,1,74,2017
1,Nou. Milers d'euros,Ciutat Vella,el Barri Gòtic,799.5,2,75,2017
1,Nou. Milers d'euros,Ciutat Vella,la Barceloneta,192.8,3,76,2017
1,Nou. Milers d'euros,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",375.8,4,77,2017
2,Nou. Milers d'euros,Eixample,el Fort Pienc,507.5,5,78,2017
2,Nou. Milers d'euros,Eixample,la Sagrada Família,NA,6,79,2017
2,Nou. Milers d'euros,Eixample,la Dreta de l'Eixample,257.7,7,80,2017
2,Nou. Milers d'euros,Eixample,l'Antiga Esquerra de l'Eixample,478.7,8,81,2017
2,Nou. Milers d'euros,Eixample,la Nova Esquerra de l'Eixample,431.9,9,82,2017
2,Nou. Milers d'euros,Eixample,Sant Antoni,NA,10,83,2017
3,Nou. Milers d'euros,Sants-Montjuïc,el Poble Sec,307,11,84,2017
3,Nou. Milers d'euros,Sants-Montjuïc,la Marina del Prat Vermell,NA,12,85,2017
10,Total. Euros/m2 construït,Sant Martí,el Poblenou,4347.4,68,287,2017
3,Nou. Milers d'euros,Sants-Montjuïc,la Marina de Port,NA,13,86,2017
3,Nou. Milers d'euros,Sants-Montjuïc,la Font de la Guatlla,NA,14,87,2017
3,Nou. Milers d'euros,Sants-Montjuïc,Hostafrancs,NA,15,88,2017
3,Nou. Milers d'euros,Sants-Montjuïc,la Bordeta,300.4,16,89,2017
3,Nou. Milers d'euros,Sants-Montjuïc,Sants - Badal,323.5,17,90,2017
3,Nou. Milers d'euros,Sants-Montjuïc,Sants,230,18,91,2017
4,Nou. Milers d'euros,Les Corts,les Corts,669.8,19,92,2017
4,Nou. Milers d'euros,Les Corts,la Maternitat i Sant Ramon,NA,20,93,2017
4,Nou. Milers d'euros,Les Corts,Pedralbes,NA,21,94,2017
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",NA,22,95,2017
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,Sarrià,NA,23,96,2017
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,les Tres Torres,634.8,24,97,2017
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,474.7,25,98,2017
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,593.3,26,99,2017
5,Nou. Milers d'euros,Sarrià-Sant Gervasi,el Putxet i el Farró,467.5,27,100,2017
6,Nou. Milers d'euros,Gràcia,Vallcarca i els Penitents,350.7,28,101,2017
6,Nou. Milers d'euros,Gràcia,el Coll,228.7,29,102,2017
6,Nou. Milers d'euros,Gràcia,la Salut,225,30,103,2017
6,Nou. Milers d'euros,Gràcia,la Vila de Gràcia,483.2,31,104,2017
6,Nou. Milers d'euros,Gràcia,el Camp d'en Grassot i Gràcia Nova,335,32,105,2017
7,Nou. Milers d'euros,Horta-Guinardó,el Baix Guinardó,385.6,33,106,2017
7,Nou. Milers d'euros,Horta-Guinardó,Can Baró,NA,34,107,2017
7,Nou. Milers d'euros,Horta-Guinardó,el Guinardó,NA,35,108,2017
7,Nou. Milers d'euros,Horta-Guinardó,la Font d'en Fargues,274.6,36,109,2017
7,Nou. Milers d'euros,Horta-Guinardó,el Carmel,135.7,37,110,2017
7,Nou. Milers d'euros,Horta-Guinardó,la Teixonera,149.8,38,111,2017
7,Nou. Milers d'euros,Horta-Guinardó,Sant Genís dels Agudells,234.2,39,112,2017
7,Nou. Milers d'euros,Horta-Guinardó,Montbau,141,40,113,2017
7,Nou. Milers d'euros,Horta-Guinardó,la Vall d'Hebron,175,41,114,2017
7,Nou. Milers d'euros,Horta-Guinardó,la Clota,NA,42,115,2017
7,Nou. Milers d'euros,Horta-Guinardó,Horta,205.4,43,116,2017
8,Nou. Milers d'euros,Nou Barris,Vilapicina i la Torre Llobeta,220,44,117,2017
8,Nou. Milers d'euros,Nou Barris,Porta,NA,45,118,2017
8,Nou. Milers d'euros,Nou Barris,el Turó de la Peira,91.8,46,119,2017
8,Nou. Milers d'euros,Nou Barris,Can Peguera,NA,47,120,2017
8,Nou. Milers d'euros,Nou Barris,la Guineueta,NA,48,121,2017
8,Nou. Milers d'euros,Nou Barris,Canyelles,NA,49,122,2017
8,Nou. Milers d'euros,Nou Barris,les Roquetes,NA,50,123,2017
8,Nou. Milers d'euros,Nou Barris,Verdun,NA,51,124,2017
8,Nou. Milers d'euros,Nou Barris,la Prosperitat,NA,52,125,2017
8,Nou. Milers d'euros,Nou Barris,la Trinitat Nova,NA,53,126,2017
8,Nou. Milers d'euros,Nou Barris,Torre Baró,NA,54,127,2017
8,Nou. Milers d'euros,Nou Barris,Ciutat Meridiana,NA,55,128,2017
8,Nou. Milers d'euros,Nou Barris,Vallbona,NA,56,129,2017
9,Nou. Milers d'euros,Sant Andreu,la Trinitat Vella,NA,57,130,2017
9,Nou. Milers d'euros,Sant Andreu,Baró de Viver,NA,58,131,2017
9,Nou. Milers d'euros,Sant Andreu,el Bon Pastor,106,59,132,2017
9,Nou. Milers d'euros,Sant Andreu,Sant Andreu,NA,60,133,2017
9,Nou. Milers d'euros,Sant Andreu,la Sagrera,NA,61,134,2017
9,Nou. Milers d'euros,Sant Andreu,el Congrés i els Indians,316,62,135,2017
9,Nou. Milers d'euros,Sant Andreu,Navas,289.4,63,136,2017
10,Nou. Milers d'euros,Sant Martí,el Camp de l'Arpa del Clot,420.4,64,137,2017
10,Nou. Milers d'euros,Sant Martí,el Clot,441.3,65,138,2017
10,Nou. Milers d'euros,Sant Martí,el Parc i la Llacuna del Poblenou,NA,66,139,2017
10,Nou. Milers d'euros,Sant Martí,la Vila Olímpica del Poblenou,NA,67,140,2017
10,Nou. Milers d'euros,Sant Martí,el Poblenou,372.2,68,141,2017
10,Nou. Milers d'euros,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,250,69,142,2017
10,Nou. Milers d'euros,Sant Martí,el Besòs i el Maresme,167.2,70,143,2017
10,Nou. Milers d'euros,Sant Martí,Provençals del Poblenou,200.6,71,144,2017
10,Nou. Milers d'euros,Sant Martí,Sant Martí de Provençals,194.8,72,145,2017
10,Nou. Milers d'euros,Sant Martí,la Verneda i la Pau,134.2,73,146,2017
1,Usat. Milers d'euros,Ciutat Vella,el Raval,240,1,147,2017
1,Usat. Milers d'euros,Ciutat Vella,el Barri Gòtic,424,2,148,2017
1,Usat. Milers d'euros,Ciutat Vella,la Barceloneta,198.2,3,149,2017
1,Usat. Milers d'euros,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",310.4,4,150,2017
2,Usat. Milers d'euros,Eixample,el Fort Pienc,383.2,5,151,2017
2,Usat. Milers d'euros,Eixample,la Sagrada Família,255.8,6,152,2017
2,Usat. Milers d'euros,Eixample,la Dreta de l'Eixample,535.3,7,153,2017
2,Usat. Milers d'euros,Eixample,l'Antiga Esquerra de l'Eixample,363.4,8,154,2017
2,Usat. Milers d'euros,Eixample,la Nova Esquerra de l'Eixample,310.2,9,155,2017
2,Usat. Milers d'euros,Eixample,Sant Antoni,297.9,10,156,2017
3,Usat. Milers d'euros,Sants-Montjuïc,el Poble Sec,258,11,157,2017
3,Usat. Milers d'euros,Sants-Montjuïc,la Marina del Prat Vermell,99.1,12,158,2017
3,Usat. Milers d'euros,Sants-Montjuïc,la Marina de Port,166.3,13,159,2017
3,Usat. Milers d'euros,Sants-Montjuïc,la Font de la Guatlla,235.1,14,160,2017
3,Usat. Milers d'euros,Sants-Montjuïc,Hostafrancs,263,15,161,2017
3,Usat. Milers d'euros,Sants-Montjuïc,la Bordeta,222.9,16,162,2017
3,Usat. Milers d'euros,Sants-Montjuïc,Sants - Badal,245.3,17,163,2017
3,Usat. Milers d'euros,Sants-Montjuïc,Sants,344.4,18,164,2017
4,Usat. Milers d'euros,Les Corts,les Corts,357.2,19,165,2017
4,Usat. Milers d'euros,Les Corts,la Maternitat i Sant Ramon,374,20,166,2017
4,Usat. Milers d'euros,Les Corts,Pedralbes,890,21,167,2017
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",391.3,22,168,2017
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,Sarrià,690.2,23,169,2017
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,les Tres Torres,816.1,24,170,2017
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,632.9,25,171,2017
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,581.7,26,172,2017
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,el Putxet i el Farró,527.7,27,173,2017
6,Usat. Milers d'euros,Gràcia,Vallcarca i els Penitents,334,28,174,2017
6,Usat. Milers d'euros,Gràcia,el Coll,199.3,29,175,2017
6,Usat. Milers d'euros,Gràcia,la Salut,312.3,30,176,2017
6,Usat. Milers d'euros,Gràcia,la Vila de Gràcia,429.8,31,177,2017
6,Usat. Milers d'euros,Gràcia,el Camp d'en Grassot i Gràcia Nova,362.6,32,178,2017
7,Usat. Milers d'euros,Horta-Guinardó,el Baix Guinardó,265.1,33,179,2017
7,Usat. Milers d'euros,Horta-Guinardó,Can Baró,221.3,34,180,2017
7,Usat. Milers d'euros,Horta-Guinardó,el Guinardó,201.8,35,181,2017
7,Usat. Milers d'euros,Horta-Guinardó,la Font d'en Fargues,277.7,36,182,2017
7,Usat. Milers d'euros,Horta-Guinardó,el Carmel,146.9,37,183,2017
7,Usat. Milers d'euros,Horta-Guinardó,la Teixonera,142.1,38,184,2017
7,Usat. Milers d'euros,Horta-Guinardó,Sant Genís dels Agudells,140.6,39,185,2017
7,Usat. Milers d'euros,Horta-Guinardó,Montbau,140.7,40,186,2017
7,Usat. Milers d'euros,Horta-Guinardó,la Vall d'Hebron,224.9,41,187,2017
7,Usat. Milers d'euros,Horta-Guinardó,la Clota,NA,42,188,2017
7,Usat. Milers d'euros,Horta-Guinardó,Horta,189.6,43,189,2017
8,Usat. Milers d'euros,Nou Barris,Vilapicina i la Torre Llobeta,170.9,44,190,2017
8,Usat. Milers d'euros,Nou Barris,Porta,171,45,191,2017
8,Usat. Milers d'euros,Nou Barris,el Turó de la Peira,112.1,46,192,2017
8,Usat. Milers d'euros,Nou Barris,Can Peguera,114.4,47,193,2017
