Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Trimestre,Nom_Barri,Valor,Codi_Barri,_id,Any
6,Total. Euros/m2 construït,Gràcia,1,el Camp d'en Grassot i Gràcia Nova,4238.3,32,1,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,el Baix Guinardó,3722.4,33,2,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,Can Baró,3304.5,34,3,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,el Guinardó,3576.7,35,4,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,la Font d'en Fargues,3283.3,36,5,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,el Carmel,2541.6,37,6,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,la Teixonera,2665.6,38,7,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,Sant Genís dels Agudells,2125.8,39,8,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,Montbau,2905.1,40,9,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,la Vall d'Hebron,3325.4,41,10,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,la Clota,N/A,42,11,2020
7,Total. Euros/m2 construït,Horta-Guinardó,1,Horta,3560.3,43,12,2020
8,Total. Euros/m2 construït,Nou Barris,1,Vilapicina i la Torre Llobeta,3094.7,44,13,2020
8,Total. Euros/m2 construït,Nou Barris,1,Porta,2713.2,45,14,2020
8,Total. Euros/m2 construït,Nou Barris,1,el Turó de la Peira,2375.0,46,15,2020
8,Total. Euros/m2 construït,Nou Barris,1,Can Peguera,1932.6,47,16,2020
8,Total. Euros/m2 construït,Nou Barris,1,la Guineueta,2620.0,48,17,2020
8,Total. Euros/m2 construït,Nou Barris,1,Canyelles,2222.2,49,18,2020
8,Total. Euros/m2 construït,Nou Barris,1,les Roquetes,2614.9,50,19,2020
8,Total. Euros/m2 construït,Nou Barris,1,Verdun,2599.1,51,20,2020
8,Total. Euros/m2 construït,Nou Barris,1,la Prosperitat,2390.6,52,21,2020
8,Total. Euros/m2 construït,Nou Barris,1,la Trinitat Nova,1715.7,53,22,2020
8,Total. Euros/m2 construït,Nou Barris,1,Torre Baró,N/A,54,23,2020
8,Total. Euros/m2 construït,Nou Barris,1,Ciutat Meridiana,1808.6,55,24,2020
8,Total. Euros/m2 construït,Nou Barris,1,Vallbona,N/A,56,25,2020
9,Total. Euros/m2 construït,Sant Andreu,1,la Trinitat Vella,2318.7,57,26,2020
9,Total. Euros/m2 construït,Sant Andreu,1,Baró de Viver,3406.3,58,27,2020
9,Total. Euros/m2 construït,Sant Andreu,1,el Bon Pastor,2122.7,59,28,2020
9,Total. Euros/m2 construït,Sant Andreu,1,Sant Andreu,3159.2,60,29,2020
9,Total. Euros/m2 construït,Sant Andreu,1,la Sagrera,3263.3,61,30,2020
9,Total. Euros/m2 construït,Sant Andreu,1,el Congrés i els Indians,2836.0,62,31,2020
9,Total. Euros/m2 construït,Sant Andreu,1,Navas,4709.8,63,32,2020
10,Total. Euros/m2 construït,Sant Martí,1,el Camp de l'Arpa del Clot,4422.2,64,33,2020
10,Total. Euros/m2 construït,Sant Martí,1,el Clot,4552.8,65,34,2020
10,Total. Euros/m2 construït,Sant Martí,1,el Parc i la Llacuna del Poblenou,4844.2,66,35,2020
10,Total. Euros/m2 construït,Sant Martí,1,la Vila Olímpica del Poblenou,4703.4,67,36,2020
10,Total. Euros/m2 construït,Sant Martí,1,el Poblenou,5050.1,68,37,2020
10,Total. Euros/m2 construït,Sant Martí,1,Diagonal Mar i el Front Marítim del Poblenou,7880.6,69,38,2020
10,Total. Euros/m2 construït,Sant Martí,1,el Besòs i el Maresme,2902.0,70,39,2020
10,Total. Euros/m2 construït,Sant Martí,1,Provençals del Poblenou,4395.4,71,40,2020
10,Total. Euros/m2 construït,Sant Martí,1,Sant Martí de Provençals,3562.1,72,41,2020
10,Total. Euros/m2 construït,Sant Martí,1,la Verneda i la Pau,2494.5,73,42,2020
1,Nou. Euros/m2 construït,Ciutat Vella,1,el Raval,N/A,1,43,2020
1,Nou. Euros/m2 construït,Ciutat Vella,1,el Barri Gòtic,6516.1,2,44,2020
1,Nou. Euros/m2 construït,Ciutat Vella,1,la Barceloneta,3463.4,3,45,2020
1,Nou. Euros/m2 construït,Ciutat Vella,1,"Sant Pere, Santa Caterina i la Ribera",7240.4,4,46,2020
2,Nou. Euros/m2 construït,Eixample,1,el Fort Pienc,5562.3,5,47,2020
2,Nou. Euros/m2 construït,Eixample,1,la Sagrada Família,N/A,6,48,2020
2,Nou. Euros/m2 construït,Eixample,1,la Dreta de l'Eixample,3098.1,7,49,2020
2,Nou. Euros/m2 construït,Eixample,1,l'Antiga Esquerra de l'Eixample,6313.6,8,50,2020
2,Nou. Euros/m2 construït,Eixample,1,la Nova Esquerra de l'Eixample,4587.0,9,51,2020
2,Nou. Euros/m2 construït,Eixample,1,Sant Antoni,N/A,10,52,2020
3,Nou. Euros/m2 construït,Sants-Montjuïc,1,el Poble Sec,N/A,11,53,2020
3,Nou. Euros/m2 construït,Sants-Montjuïc,1,la Marina del Prat Vermell,N/A,12,54,2020
3,Nou. Euros/m2 construït,Sants-Montjuïc,1,la Marina de Port,N/A,13,55,2020
3,Nou. Euros/m2 construït,Sants-Montjuïc,1,la Font de la Guatlla,2743.6,14,56,2020
3,Nou. Euros/m2 construït,Sants-Montjuïc,1,Hostafrancs,2600.0,15,57,2020
3,Nou. Euros/m2 construït,Sants-Montjuïc,1,la Bordeta,N/A,16,58,2020
3,Nou. Euros/m2 construït,Sants-Montjuïc,1,Sants - Badal,3983.6,17,59,2020
3,Nou. Euros/m2 construït,Sants-Montjuïc,1,Sants,5098.8,18,60,2020
4,Nou. Euros/m2 construït,Les Corts,1,les Corts,5292.4,19,61,2020
4,Nou. Euros/m2 construït,Les Corts,1,la Maternitat i Sant Ramon,4428.4,20,62,2020
4,Nou. Euros/m2 construït,Les Corts,1,Pedralbes,12154.2,21,63,2020
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,1,"Vallvidrera, el Tibidabo i les Planes",N/A,22,64,2020
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,1,Sarrià,7364.2,23,65,2020
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,1,les Tres Torres,N/A,24,66,2020
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,1,Sant Gervasi - la Bonanova,4851.4,25,67,2020
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,1,Sant Gervasi - Galvany,5128.4,26,68,2020
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,1,el Putxet i el Farró,5010.3,27,69,2020
6,Nou. Euros/m2 construït,Gràcia,1,Vallcarca i els Penitents,3461.7,28,70,2020
6,Nou. Euros/m2 construït,Gràcia,1,el Coll,2268.3,29,71,2020
6,Nou. Euros/m2 construït,Gràcia,1,la Salut,N/A,30,72,2020
6,Nou. Euros/m2 construït,Gràcia,1,la Vila de Gràcia,4480.5,31,73,2020
6,Nou. Euros/m2 construït,Gràcia,1,el Camp d'en Grassot i Gràcia Nova,N/A,32,74,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,el Baix Guinardó,N/A,33,75,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,Can Baró,N/A,34,76,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,el Guinardó,4152.5,35,77,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,la Font d'en Fargues,2298.9,36,78,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,el Carmel,2664.2,37,79,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,la Teixonera,2882.6,38,80,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,Sant Genís dels Agudells,N/A,39,81,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,Montbau,2988.8,40,82,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,la Vall d'Hebron,3666.4,41,83,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,la Clota,N/A,42,84,2020
7,Nou. Euros/m2 construït,Horta-Guinardó,1,Horta,4141.6,43,85,2020
8,Nou. Euros/m2 construït,Nou Barris,1,Vilapicina i la Torre Llobeta,N/A,44,86,2020
8,Nou. Euros/m2 construït,Nou Barris,1,Porta,N/A,45,87,2020
8,Nou. Euros/m2 construït,Nou Barris,1,el Turó de la Peira,N/A,46,88,2020
8,Nou. Euros/m2 construït,Nou Barris,1,Can Peguera,N/A,47,89,2020
8,Nou. Euros/m2 construït,Nou Barris,1,la Guineueta,N/A,48,90,2020
8,Nou. Euros/m2 construït,Nou Barris,1,Canyelles,N/A,49,91,2020
8,Nou. Euros/m2 construït,Nou Barris,1,les Roquetes,N/A,50,92,2020
8,Nou. Euros/m2 construït,Nou Barris,1,Verdun,3300.0,51,93,2020
